content,translated_content
aplikasi buruk barcode pakai spbu coba cari barcode kendara aplikasi mypertamina unduh menu cari barcode kendara daftar isi data ulang ulang isi data nomor kendara cari daftar barcode unduh pakai kali kali isi bahan bakar minyak,bad application barcode use gas station try searching for vehicle barcode mypertamina application download menu search for vehicle barcode register fill in data repeat fill in vehicle number data search barcode list download use times fill in fuel oil
puas bantu ekonomi,satisfied to help the economy
mypertamina mantap,mypertamina is great
ubah stnk tahun nomor polisi kendara ubah daftar ulang sulit rubah nomor polisi ubah daftar ulang,change stnk year police number vehicle change re-registration difficult change police number change re-registration
tolong baik sistem daftar kendala sistem gagal mohon baik kualitas kamera kamera buram flash daftar susah tolong kembali kualitas terima kasih,please good system register system problem failed please good camera quality camera blurry flash register difficult please return quality thank you
mantap muas,steady and satisfying
daftar barcode qris update isi ulang haduuhhh sulit,qris barcode list update refill oh my it's hard
my pertamina pakai orang login masuk gagal,my pertamina use other people login failed
ting kamera wide,wide camera ting
oke mantap,okay great
sosial media pertamina chat balas adu,social media pertamina chat reply adu
aplikasi subsidi daftar sulit data full foto stnk bpkb tolak beli mobil bekas unggah tolak kecewa moga spbu shell cepat balikpapan,subsidy application register difficult full data photo stnk bpkb refuse to buy used car upload refuse disappointed hopefully shell gas station quickly balikpapan
bantu,help
mantap,Excellent
good,good
bagus,Good
unggah foto ktp gagal susah,upload photo ktp failed difficult
kemarin fitur unggah berkas daftar subsidi,yesterday the feature uploaded the subsidy list file
pegawai pom banyak canda bicara isi,petrol station employees talk a lot about jokes
pertamina call center hubung pesan gas blora jawa janji jam pagi jam silah,pertamina call center contact message gas blora java promise morning time please
praktis sulit bawa uang cash,practically difficult to carry cash
aplikasi foto fokus tolak buruk foto resolusi hasil bagus,photo application focus reject bad photo resolution good results
foto buram verifikasi ambil galeri ning mudah bikin susah,blurry photo verification take gallery ning easy make difficult
daftar subsidi sulit akses mohon baik,list of subsidies difficult to access please be kind
kesini unggah stnk sulit baca fokus handphone mending menyantumkan foto saran mah susah orang lot foto stnk hadeehhh suram suram,"come here to upload the vehicle registration certificate, it's hard to read, focus on your cellphone, it's better to include a photo, the suggestion is it's hard, people take a lot of vehicle registration photos, it's gloomy, gloomy"
sulit daftar bahan bakar minyak subsidi isi data jungkir habis kuota mudah rakyat selamat nikmat ruwet,"difficult to register subsidized fuel, fill in the data, quota is up, easy, people are safe, delicious, complicated"
terima foto ktp pemberitahuan tulis merah verifikasi foto ktp gagal aplikasi buruk susah masyarakat bossss tolong bantu masyarakat,"receive a photo of an ID card, notification written in red, verification of the ID card photo failed, bad application, difficult for the community, boss, please help the community"
oke,Okay
aplikasi bantu mudah,easy help application
qr customer tampil,qr customer display
daftar nomor rang mob plat baca aplikasi roda solusi,list of car number plates read application wheel solution
login nomor pin,login pin number
blokir bikin normal,block make normal
sulit bikin susah rakyat,difficult to make difficult for the people
sungguh sulit daftar handphone kualitas rendah foto stnk buram mesti tolak alangkah baik menu ambil galeri mohon bantu kasihan isi bahan bakar minyak sulit,"It's really hard to register a low quality cellphone, the vehicle registration photo is blurry, it has to be rejected, it would be better to take the gallery menu, please help, it's a shame, it's hard to fill up with fuel"
baik pom ciatel,good ciatel pump
akun masuk klaim kode barcode langsung masuk data repot mah daftar ulang,account login claim barcode code directly enter data is a hassle re-register
mantap,Excellent
buruk susah ambil subsidi negeri,bad hard to get state subsidies
mantap,Excellent
foto gagal aplikasi buruk ambil gambar bagus,photo fail bad app take good picture
susah foto ktp menu edit pilih galeri gagal,difficult to take KTP photo edit menu select gallery failed
dar tarif bahan bakar minyak aplikasi,from fuel oil tariff application
sulit,difficult
susah lambat,hard but slow
tolong sulit lalap gagal daftar sesuai suruh heran,please difficult lalap failed to register as instructed surprised
aplikasi sulit,difficult application
klik ambil foto foto buram buruk susah,click take photo blurry photo bad difficult
komplain respon jawab terang barcode blokir isi syarat id lapor jelas tim tim sinambung selesai rugi barcode salah curi oknum spbu tegas tim kait tanggung,complaint response answer clear barcode block fill in requirements id report clear team continuous team finished loss wrong barcode stolen by gas station official firm team hook responsibility
aplikasi sulit ambil foto stnk,application difficult to take STNK photo
sulit mudah,hard easy
aplikasi sampah cerita digital buat perintah eh saking buruk unggah data hasil banyak korup ua gnya kali biaya aplikasi hasil aplikasi abal bikin anak ajar software,digital story trash application for commands eh because it's so bad uploading data results are a lot of corruption the money is times the cost of the application results are fake applications make children teach software
oke,Okay
sulit masyarakat,difficult society
aplikasi sulit fitur foto ktp stnk mode buram tolong bantu subsidi ikhlas sulit wajib taat pajak stnk versi baru foto susah niat subsidi verifikasi butuh,difficult application photo feature ktp stnk blurry mode please help subsidy sincere difficult mandatory tax compliance stnk new version photo difficult intention subsidy verification needed
good,good
pertamina kirim kode otp registrasi whatsapp pesan coba ulang handphone android pakai wifi,"Pertamina sends OTP code for WhatsApp registration message, try again on Android phone using WiFi"
update lokasi spbu nomor lokasi sesuai,update gas station location number according to location
mantap,Excellent
ambil foto nge buram heran kamera handphone buruk jelek pilih foto galeri gilir ambil foto gambar buram fokus verifikasi tolak salah aplikasi,"take a blurry photo, I'm surprised the cellphone camera is bad, ugly, choose a photo, gallery, take turns, take a photo, blurry image, focus, verify, reject, wrong application"
aneh gagal verifikasi alas gagal stnk contoh tulis baca gagal anggar bumn aplikasi beres,strange failed verification failed STNK example of writing reading failed bumn fencing application finished
spbu aplikasi gilir bayar pakai mypertamina error,gas station application pay in turns using mypertamina error
ambil barcode,get barcode
daftar jirrrr foto ktp tolak jir,list jirrrr photo ktp reject jir
atur fokus aplikasi fitur cahaya pindai stnk hasil buram baca aplikasi,set focus application feature light scan stnk blurred results read application
tangan daftar unit lambat minggu daftar unit gara daftar roda mobil tuju subsidi sulit rakyat,hand list unit slow week list unit because list wheel car heading subsidy difficult people
sulit,difficult
daftar ganti plat pajak ganti plat daftar kode qr,tax plate change list change plate qr code list
kamera foto berkas pakai kamera ultrawide kamera utama akses aplikasi paham kamera ultrawide milik hasil foto bagus kamera utama bagus ultrawide tolong timbang kembang kasihan masyarakat daftar hasil foto gagal,camera photo file use ultrawide camera main camera access application understand ultrawide camera property good photo results main camera good ultrawide please weigh the flowers pity the community list of failed photo results
susah daftar pakai ktp,hard to register using KTP
akun,account
mantap,Excellent
kaya tanggap coba ulang kali unggah ktp hubung email solusi butuh mohon baik,like responsive try again upload ktp connect email solution needed please be good
masuk foto stnk galeri foto langsung gagal stnk sesuai,Enter the STNK photo gallery photo directly failed STNK according to
tingkat bagus batu,good grade stone
,#VALUE!
kelas otp masuk masuk,class otp login login
laris sulit desain chrome admin ubah ubah sistem daftar program perintah pakai foto handphone pakai foto live susah bidik kamera bagus sulit guna,selling hard chrome design admin change system list of command programs use cellphone photos use live photos hard to aim good camera hard to use
mobil tua daftar barcode pajak mati warna mobil sesuai warna besi tinggal stnk rusak bayar pajak miskin mohon hilang barcode pakai barcode orang kaya mobil mewah susah mobil buruk isi tamak,old car list of barcodes tax expired car color according to the color of the iron only vehicle registration damaged pay tax poor please lost barcode use barcode rich people luxury car difficult bad car greedy
coba,try
solusi pusat bantu daftar mypertamina vc unit mobil,mypertamina vc car unit help center solution
bagus,Good
tolong update aplikasi aju kali tolak foto stnk murni salah aplikasi kamera buram buka aplikasi mypertamina buka aplikasi bawa handphone kamera bagus buram,"please update the application, this time the STNK photo is rejected, the application is purely wrong, the camera is blurry, open the MyPertamina application, open the application, bring a cellphone, the good camera is blurry"
mudah transaksi terima kasih,easy transaction thank you
tugas erti bayar pakai my pertamina erti malas,work means paying using my Pertamina means being lazy
tolong tambah metode bayar via dana,please add a payment method via funds
manfaat,benefit
tanggal kemarin kirim email sanggah negative list kode qr blokir alas isi bensin kapasitas qr blokir isi subsidi nyata syarat jelas follow up kait minggu chat email facebook instagram jawab suruh tunggu kecewa,yesterday's date send email rebuttal negative list qr code block base fill petrol capacity qr block fill real subsidy clear conditions follow up hook week chat email facebook instagram reply told to wait disappointed
bantu,help
kendala daftar kendara coba kali solusi buat sistem kirim data stnk foto kendara gagal pesan salah sistem silah coba,vehicle registration problem try this solution for vehicle registration photo data sending system failed message wrong system please try
praktis,practical
mantap,Excellent
tambah unit subsidi subsidi data kirim salah sistem kali kali coba,add subsidy unit subsidy data send wrong system try again
susah bikin barcode,hard to make barcode
bagus,Good
fitur ganti nomor hubung gopay ovo,Gopay Ovo change number feature
daftar gagal blanko stnk habis telepon call center solusi stempel blanko tanda proses tolong depa solusi,failed registration blank STNK expired call center solution blank stamp process sign please help solution
puas,satisfied
mantap,Excellent
,#VALUE!
atur susah barcode kedaluwarsa update daftar ulang sulit stnk terang,set difficult expired barcode update re-registration difficult STNK clear
mantap alhamdulillah jadzakallaah khair kashiraahu,"Great, thank God, may Allah bless you"
daftar susah tolak data sesuai isi minyak pakai barcode dapat barcode susah ampun benah,list of difficult to reject data according to oil content using barcode getting barcode is very difficult to fix
proses kendala pindai stnk alas stnk hologram buka hologram tulis stnk buka sobek admin,STNK scan obstacle process STNK base hologram open hologram write STNK open tear admin
poin bayar cash tunai kompetitor belah,cash pay point cash competitor split
bantu antri cruiser,help queue cruiser
susah orang,hard people
moga pom pakai mypertamina,Hopefully the gas station uses MyPertamina
update sulit lambat my pertamina hemmm,update is difficult and slow my pertamina hmmm
aplikasi sulit rakyat,people's hard application
sulit masyarakat aplikasi baru kaya gin repot bikin ambil galeri foto ktp langsung foto tolong adakan aw buat terima kasih,"It's hard for people to make new applications like this, it's a hassle to take a photo gallery of your ID card directly, please make an aw for it, thank you"
puas terima kasih layan bagus,satisfied thank you good service
login format salah nomor handphone sandi ganti sandi,login format wrong mobile number password change password
ambil gambar ktp super buruk habis ktp bilang pakai kamera super,take a super bad ID card picture because the ID card says use a super camera
mobil daftar,car list
unggah foto stnk unggah galeri file unggah kamera langsung buram sebab verifikasi tolak bikin darah unggah stnk kamera foto buram mohon baik baik kecewa unggah foto buram pakai android,upload vehicle registration certificate photo upload file gallery upload camera directly blurry because verification rejected make blood upload vehicle registration certificate camera blurry photo please be kind disappointed upload blurry photo using android
mantap mantap,steady steady
admin roda ganti langsung otomatis roda mobil pilih otomatis verifikasi tambah barcode blokir atas selesai atas tolong bantu admin biar alami selesai isi solar admin barcode atas proses tolong bantu,admin change wheels directly automatically car wheels select automatically verify add barcode block top finished top please help admin so it's natural finish fill solar admin barcode top process please help
foto aplikasi buram kali coba foto stnk gagal aplikasi sengaja susah registrasi aplikasi cus,blurry application photo try to take vehicle registration photo failed application deliberately difficult to register application cus
bayar linkaja,pay linkaja
update pakai curang spbu isi pegawai bilang pakai mypertamina pegawai kurang isi pegang lepas full tuas main pegawai jari tarik lepas isi curang isi drum dirigen tong laku layan isi aneh cctv bukti cek cctv,update using cheating gas station filling employee said using mypertamina employee not filling enough hold release full lever play employee finger pull release fill cheating fill drum conductor barrel sell serve fill strange cctv proof check cctv
seta ganti plat nomor niat update aplikasi fitur ambil foto stnk buram mohon baik kasih fitur ambil foto galeri,"After changing the license plate number, I intend to update the application with the feature to take blurry vehicle registration photo. Please be kind and provide a feature to take gallery photos."
kamera web foto stnk besar fokus hasil buram tolak ulang kali sulit registrasi,large focus vehicle registration photo webcam blurry results rejected repeatedly difficult to register
input manual update enak susah baru mudah sulit,manual input update easy difficult new easy difficult
aplikasi customer pcc kocak mobil daftar isi formulir mohon tuju daftar ulang hubung customer pcc suruh isi formulir mohon coba isi formulir mohon tunggu bulan hubung pcc suruh daftar pasti tidak aplikasi customer pcc buruk,funny pcc customer application car register fill out the form please go to re-register contact pcc customer ask to fill out the form please try to fill out the form please wait a month contact pcc ask to register definitely not bad pcc customer application
oke mantap laaaa,"okay, that's great"
aman daftar unggah foto stnk sulit mohon aplikasi baik admin,safe register uploading STNK photo is difficult please good application admin
foto stnk unggah mohon bantu foto unggah bagus foto baca sistem tolong pertamina foto unggah album mudah,STNK photo upload please help upload good photo read system photo please Pertamina photo upload album easy
mantap,Excellent
kek bayar pakai gopay spbu mesin edc rusak rusak jamaah,"like paying using gopay, the gas station EDC machine is broken, the congregation is broken"
bagus,Good
foto stnk ambil galeri kaya,STNK photo take rich gallery
,#VALUE!
kualitas buruk update unggah foto kamera buram fokus,bad quality update upload photo camera blurry focus
cepat praktis aman,fast practical safe
aplikasi customer whatsapp rekrut cepat worth call center email telepon via video call aplikasi antri urgent,whatsapp customer application fast recruitment worth call center email phone via video call urgent queue application
guna mudah kendala pom desa pom bayar pakai mypertamina moga optimal pom,"to make it easier to pay for village gas stations, gas stations use MyPertamina, hopefully the gas stations will be optimal"
cepat pakai antri,fast use queue
moga,Hopefully
sial,Unlucky
kamera ambil foto stnk kamera aktif buram sulit guna,camera takes photo of vehicle registration certificate camera is active blurry difficult to use
ajar,teach
kamera subsidi foto stnk daftar barcode kamera buram coba handphone susah daftar tolong baik,subsidized camera photo vehicle registration barcode list blurry camera try cellphone difficult to register please be kind
sulit maksimal fitur,hard to maximize features
lumayan wlo susah daftar,Not bad even though it's hard to register
tadu unduh gagal cepat,download failed fast
admin daftar ubah nomor plat gagal,admin list change plate number failed
aplikasi rang foto data stnk aplikasi hasil buram tes kamera bawa handphone cerah saran tambah fitur unggah sistem kamera aplikasi kurang resolusi olah handphone kamera buruk,photo ranking application vehicle registration data application blurry results camera test bring a bright cellphone suggestion add upload feature camera system application low resolution cellphone processing bad camera
hasil update foto pilih pakai kamera default hasil tangkap foto serasa lambat lot turun kualitas aplikasi sulit daftar pakai handphone ram pakai handphone ram unggah foto stnk gagal pakai wifi data gambar mb gambar rasa beda susah unggah foto,photo update results select use default camera photo capture results feel slow a lot down application quality is difficult to register using cellphone ram using cellphone ram uploading vehicle registration photo fails using wifi image data mb image feels different difficult to upload photos
pom bensin tolak mesin rusak alat barcode bikin aplikasi,Gas station rejects broken machine barcode tool to make application
foto kamera stnk pilih kualitas foto pilih galeri foto buram kamera handphone jernih,STNK camera photo select photo quality select blurry photo gallery clear cellphone camera
aplikasi bagus tampil tagih gas kembang baik,good app looks good bill gas kembang
kali kali coba daftar unit verifikasi tolak alas foto stnk baca baca kamera aplikasi bikin buram,"try to register the verification unit, reject the STNK photo base, read the camera, the application makes it blurry"
manfaat ojek online,Benefits of online motorcycle taxis
gin susah susah,Gin is difficult
kali kali foto stnk buram gambar buram foto kamera tolong benar bikin sulit masyarakat,"Sometimes the vehicle registration photo is blurry, the camera photo is blurry, please help, it really makes things difficult for the public"
login reset pin link masuk whatsapp,login reset pin link login whatsapp
cepat pakai mypertamina,quickly use mypertamina
bantu,help
aplikasi buruk ambil foto kamera buram mb sih bikin rakyat susah beli solar pom liter nelayan pakai barcode barcode beli ecer rasa beda uang si selisih pas harga tolong bikin aplikasi sulit pakai kuota nyekik,bad application takes blurry camera photos mb makes it difficult for people to buy diesel pom liters fishermen use barcodes barcodes buy retail tastes are different for money si the difference is right in price please make the application difficult to use annoying quotas
website subsidi sulit pakai ktp digital website kelas perintah sulit ambil foto ktp galeri bikin bijak imbang teknologi mudah kantor sulit,subsidy website difficult to use digital ID card website command class difficult to take ID card photo gallery make wise balance easy technology office difficult
ambil gambar galeri langsung foto aplikasi,take picture gallery direct photo app
keren,Cool
kaya galeri foto foto langsung stnk foto stnk asli langsung foto layar salin coba foto potong sering salah sistem foto buram fokus kamera tolong admin update foto galeri foto,rich photo gallery direct photo of vehicle registration certificate original vehicle registration certificate photo direct screen photo copy try photo cut often wrong blurry photo system camera focus please admin update photo gallery photo
mohon buat barcode subsidi unggah foto stnk baik foto kamera buruk foto tempat cahaya terang,"please make a subsidy barcode, upload a photo of the vehicle registration certificate, a good photo of the camera, a bad photo of a brightly lit place"
isi bensin langsung pakai gopay,fill up with petrol directly using gopay
bolak unggah data selesai verifikasi akun kabar,Upload data back and forth after account verification
mantap,Excellent
kacau mypertamina verifikasi tolak data database tolong woi ambil galeri foto kamera,messed up mypertamina verification rejects database data please hey take camera photo gallery
bagus,Good
terima kasih,Thank You
buruk kualitas kamera buram,bad quality camera blurry
oke,Okay
kendala hubung gopay metode bayar mohon baik terima kasih,Gopay connection problem payment method please be kind thank you
,#VALUE!
aplikasi aneh verifikasi data sesuai gagal isi keliru,strange application data verification according to failed content wrong
bagus,Good
aplikasi error,application error
sulit daftar foto stnk gagal aplikasi yaaallllahhh seng ter,"it's hard to register a vehicle registration photo, the application failed, oh my gosh"
bantu,help
bagus,Good
unggah ktp pakai aplikasi susah fokus,upload ktp using application hard to focus
tugas,task
good salam mypertamina tolong bantu barcode subsidi pertalite pendar kendara akun verifikasi tolong arah terima kasih,good greetings mypertamina please help barcode subsidy pertalite pendar kendall account verification please give directions thank you
muat ulang,reload
barcode ulang kali reset barcode mobil pakai barcode atur verifikasi nomor plat barcode,barcode reset car barcode using barcode set barcode plate number verification
tolong baik foto stnk file mb atas salah,"please take a good photo of the STNK file above, it's wrong"
server masalah,server problem
tolong sistem baik ambil foto buruk hasil foto buram sulit bikin darah balik ambil foto galeri,please good system take bad photo result blurry photo hard to make blood back take photo gallery
jual gas,sell gas
bantu aktivitas hari,help daily activities
aplikasi bodoh fungsi rakyat susah pasang aplikasi bodoh,stupid application function people find it difficult to install stupid applications
pertamina bagus suka warga negara indonesia cinta produk indonesia,"Pertamina is good, Indonesian citizens love Indonesian products"
cek tagih gas pgn,check pgn gas bill
baik akses kamera ganggu,good camera access is disturbing
mantap,Excellent
mantap lancar,steady smooth
buruk masak tolak kirim foto,bad cook refuse to send photo
aplikasi pakai ambil foto izin aplikasi kamera izin admin,application use take photo permission camera application admin permission
sulit saat lihat barcode login daftar,difficult when seeing the login register barcode
verifikasi data lurah pilih ketik manual,"Verify village head data, select manual typing"
update bagus nge error ayo guna turun bintang biar baik aplikasi,"good update, no errors, let's use the stars so that the application is good"
sulit daftar barcode ulang kerja ade,hard to register barcode re-work ade
tolong baik kamera unggah stnk buram kamera bagus ambil galeri pakai kamera bawa bagus ambil galeri tolong baik,please good camera upload STNK blurry camera good take gallery use camera bring good take gallery please good
good,good
aplikasi buruk isi data lap habis isi isi verifikasi foto hasil menu foto ambil galeri harus foto settingan default kamera aplikasi mode wide aplikasi mudah bikin susah,bad application fill in data wipe finished fill in verify photo results menu photo take gallery must take photo default settings camera application wide mode application easy to make difficult
susah payah dapat poin ratus angin hujan poin hilang refresh bodoh tuh poin terima kasih,hard work to get hundreds of points wind rain points lost refresh stupid points thank you
aplikasi laku paksa karyawan spbu fake transaksi lawak pertamina,application forced gas station employees fake transaction joke pertamina
qr kode mypertamina beli kendara show room bekas tangan kendara daftar nomor polisi my pertamina daftar mypertamina tolak mohon jelas saran terima kasih,qr code mypertamina buy vehicle showroom used vehicle register police number my pertamina register mypertamina reject please clarify suggestions thank you
unduh isi jaga bilang pakai mypertamina,download the contents of the guard saying use mypertamina
registrasi pandu foto stnk foto mobil tolong jelas terima kasih,registration guide photo vehicle registration photo car please explain thank you
oke,Okay
coba web aplikasi dua tolak coba kali tolak terang mobil daftar beli mobil second barcode kayak solusi bismillah moga ulas mypertamina depan temu solusi,try web application two reject try times reject bright car register buy second hand car barcode like solution bismillah hopefully review mypertamina in the future meet solution
aplikasi salah sistem urgent sulit fitur kamera langsung aplikasi lot handphone lot tolong kembang mang bijak perhati mudah akses,application wrong system urgent difficult live camera feature application lot handphone lot please flower wise mang pay attention easy access
kamera buruk input foto,bad camera photo input
login nomor handphone pin reset pin pakai pin login,login mobile number pin reset pin use pin login
cocok,suitable
aplikasi beban lihat qr sulit login,load application see qr difficult to login
cacat gilir capai antri aplikasi error pergi tarik tunai antri,defective turn reach queue application error go cash withdrawal queue
mantap sasar,steady on target
pakai barcode ganti plat bikin barcode unggah stnk ganti handphone unggah galeri susah sih,"Use barcode to change license plate, make barcode, upload vehicle registration certificate, change cellphone, upload gallery, it's hard"
,#VALUE!
aplikasi buruk salah barcode sengaja barckode data kendara valid susah barcode faktor kurang kendara bahan bakar minyak terima kasih,"Bad application, wrong barcode on purpose, valid vehicle data barcode, difficult barcode factor, lack of fuel oil, thank you"
aneh aplikasi kendara daftar login web guna aplikasi buang anggar,strange application drive list login web for application throw fence
update,update
mantap cepat aman,steady fast safe
stnk input galeri sungguh repot,stnk input gallery is really troublesome
barcode orang coba bikin adu gagal gagal aplikasi cacat,barcode people try to make a duel fail fail application defect
sulit ubah data kali foto stnk gagal kamera buram hadeuh sulit hidup sulit sulit ma aplikasi,"it's hard to change data, sometimes the vehicle registration photo fails, the camera is blurry, oh my, it's hard to live, it's hard, it's hard with the application"
oke,Okay
fungsi,function
error kirim data stnk foto kendaran,error sending vehicle photo STNK data
sulit,difficult
good,good
pds akses aplikasi baca maps masuk alamat susah beli gas sulit,pds access application read maps enter address difficult buy gas difficult
oke,Okay
sistem masalah unggah dokumen kamera hasil buram aju tolak,system problem uploading documents camera blurry results submit reject
admin tolong kali verifikasi tolak foto stnk anggap hitam putih foto salin asli foto berkas stnk asli pakai iphone hasil buram png jpg jpeg tolong kasih solusi,"Admin please help me verify the STNK photo, consider it black and white, copy the original photo, original STNK file photo using iPhone, blurry result, png, jpg, jpeg, please provide a solution"
bayar gas bumi login,pay natural gas login
unggah stnk gagal,STNK upload failed
data tolak terang libat halang kamera aplikasi web buram aneh,data reject bright involve block camera application web blurry strange
aplikasi nyaman daftar foto kamera aplikasi unggah stnk fokus susah daftar barcode,convenient application register camera photo application upload STNK focus difficult register barcode
akses halaman subsidi refresh halaman aplikasi bumn aplikasi anak magang buang label bumn mu malu malu in,"access the subsidy page, refresh the SOE application page, intern application, throw away your SOE label, shame on you"
tolak foto stnk foto kamera aplikasi buruk foto fokus besar,reject photo vehicle registration certificate photo camera application bad photo large focus
pulang update sistem enak susah aneh,home update system good difficult strange
sistem sibuk ikut atur susah,"busy system, hard to manage"
tolong baik subsidi tepat pegawai spbu barcode menit kemarin kemarin foto ubah kamera bawa handphone kamera google buruk buram,please good subsidy right employee gas station barcode minutes yesterday yesterday photo change camera bring cellphone google camera bad blurry
bintang lanjut,advanced star
bantu,help
coba daftar ulang kirim adu alamat email hasil kendara daftar isi formulir keluh kali unit daftar bantu,try re-register send email address complaint results driving list fill out complaint form times unit register help
oke,Okay
unggah stnk ambil galeri langsung ambil foto kamera cembung normal jatuh sulit mudah,"upload vehicle registration certificate, take gallery directly, take photo, normal convex camera, fall, difficult, easy"
,#VALUE!
good,good
tugas spbu tolak isi bahan bakar pertalite alas barcode masalah,gas station duty refuses to fill pertalite fuel due to barcode problem
mantap,Excellent
luncur notifikasi kirim selamat sistem sulit,launch notification send congratulations system difficult
update posisi letak spbu nitik kebun kebun sesuai,update the position of the Nitik Kebun Kebun gas station according to
update data efektif,effective data update
tolong sulit masyarakat ekonomi tengah bawah pasang aplikasi registrasi hasil registrasi tolak lengkap data mobil lcgc beli bahan bakar susah ampun,"Please help, it's hard for the lower middle class to install the registration application, the registration results are rejected, complete LCGC car data, buying fuel is very difficult"
mantap,Excellent
turun bintang,down star
daftar tolak,reject list
bagus,Good
aplikasi bagus akses subsidi suruh foto stnk selesai sesuai mb error kamera aplikasi milik rating jelek bikin kesal opsi pilih galeri wow cerdas sulit orang saran pilih unggah galeri moga orang tanggung benah doa rasa pecat miskin,good application access subsidy ask for vehicle registration photo completed according to MB error camera application owned bad rating makes you annoyed option choose gallery wow smart difficult people suggestion choose upload gallery hopefully people will be responsible fix pray feel fired poor
promo please,promo please
daftar langsung qr kek suruh tunggu lapor keluh selesai tunggu selesai tuju daftar roda roda menu bikin keluh tunggu bulan jam parah stnk bpkb jenis bahan bakar minyak solar masuk pertalite otomatis qr guna kacau sulit habis kek,register directly qr like told to wait report complain finished wait finished go to register wheel wheel menu make complain wait month hour severe stnk bpkb type of fuel diesel oil enter pertalite automatic qr use chaotic difficult finished like
masuk chrome sandi pakai abjad aplikasi sandi nomor,chrome login password use alphabet application password number
update pakai kamera bawa aplikasi aplikasi susah rakyat kamera dukung aplikasi kaya sampah,update using camera bring application application difficult people camera support application rich trash
baru unggah foto stnk bentuk jpg susah daftar subsidi tepar,"just uploaded a jpg photo of the vehicle registration certificate, it's hard to register for the Tepar subsidy"
good,good
buruk layan buruk buruk akses ratus juta orang gampang,bad service bad bad access hundreds of millions of people easy
kualitas bahan bakar minyak sampah mending isi shell vivo bp isi pertamax kaya ron cek tangki bahan bakar minyak keruh jernih,"The quality of the fuel is rubbish, it's better to fill it with Shell Vivo BP, fill it with Pertamax, rich in Ron, check the fuel tank, the oil is cloudy and clear"
oke,Okay
salah sistem salah sistem salah sistem coba ratus kali hasil,wrong system wrong system wrong system try hundred times result
lambat layan email phone sulit masyarakat mobil roda roda proses selesai desember februari,slow service email phone difficult people car wheels process finished december february
muas,satisfied
oke,Okay
registrasi susah sulit cocok dinjadiin slogan kali kesal serius ubah bintang benar sistem,"registration is difficult, it is suitable to be used as a slogan when you are seriously annoyed, change the star system correctly"
hai pertamina baik sistem usaha uang gin aplikasi tolong hormat direktur utama pt pertamina aplikasi susah rakyat daftar masuk sesuai stnk kendara tolak nomor polisi masuk beda daftar payah,"Hi Pertamina, good business system, money gin application, please respect the main director of PT Pertamina, the application is difficult for the people to register according to the vehicle registration certificate, the police number is rejected, different registration, it's hard to register"
